Time:6.83698892593   TIMDs:3
Time:6.43469214439   TIMDs:6
Time:6.83892297745   TIMDs:9
Time:7.02848696709   TIMDs:12
Time:7.39712500572   TIMDs:15
Time:7.89235520363   TIMDs:18
Time:8.53934812546   TIMDs:21
Time:10.7247469425   TIMDs:24
Time:9.36930894852   TIMDs:27
Time:9.99711084366   TIMDs:30
Time:11.1744098663   TIMDs:33
Time:12.4665708542   TIMDs:36
Time:12.5562729836   TIMDs:39
Time:14.5128641129   TIMDs:42
Time:14.4824199677   TIMDs:45
Time:15.0159959793   TIMDs:48
Time:16.3230900764   TIMDs:51
Time:17.3401339054   TIMDs:54
Time:15.7958171368   TIMDs:57
Time:16.0608818531   TIMDs:60
Time:17.1942789555   TIMDs:63
Time:17.8217079639   TIMDs:66
Time:17.873529911   TIMDs:69
Time:18.7328619957   TIMDs:72
Time:20.4437398911   TIMDs:75
Time:23.416561842   TIMDs:78
Time:22.3457729816   TIMDs:81
Time:23.2638940811   TIMDs:84
Time:21.9647610188   TIMDs:87
Time:23.3256437778   TIMDs:90
Time:26.5297780037   TIMDs:93
Time:65.0133330822   TIMDs:509
Time:35.9127621651   TIMDs:1018
Time:9.46780800819   TIMDs:9
Time:7.53762698174   TIMDs:18
Time:7.35725402832   TIMDs:27
Time:8.23057293892   TIMDs:36
Time:12.1633069515   TIMDs:48
Time:9.79724407196   TIMDs:60
Time:13.2816610336   TIMDs:72
Time:16.5439248085   TIMDs:84
Time:12.233891964   TIMDs:96
Time:13.325138092   TIMDs:108
Time:13.436383009   TIMDs:120
Time:17.564455986   TIMDs:132
Time:17.5082569122   TIMDs:144
Time:16.5832288265   TIMDs:156
Time:17.1674399376   TIMDs:168
Time:21.0957400799   TIMDs:180
Time:18.4620840549   TIMDs:192
Time:21.0110259056   TIMDs:204
Time:23.43227005   TIMDs:216
Time:21.9257450104   TIMDs:228
Time:28.0230419636   TIMDs:240
Time:25.2237432003   TIMDs:252
Time:23.8398969173   TIMDs:264
Time:25.8262639046   TIMDs:276
Time:26.7184519768   TIMDs:288
Time:25.7984700203   TIMDs:300
Time:28.463955164   TIMDs:312
Time:35.6240720749   TIMDs:324
Time:30.0099380016   TIMDs:336
Time:30.687732935   TIMDs:348
Time:31.3683600426   TIMDs:360
Time:42.8637211323   TIMDs:377
Time:37.2524011135   TIMDs:394
Time:42.4587521553   TIMDs:411
Time:41.8203389645   TIMDs:428
Time:44.3889279366   TIMDs:445
Time:47.2419807911   TIMDs:462
Time:57.3009178638   TIMDs:479
Time:45.9062011242   TIMDs:497
Time:59.0035932064   TIMDs:520
Time:50.0719218254   TIMDs:543
Time:52.9289879799   TIMDs:566
Time:60.8425660133   TIMDs:589
Time:62.340321064   TIMDs:612
Time:57.1267681122   TIMDs:635
Time:55.1792011261   TIMDs:660
Time:72.7435998917   TIMDs:688
Time:71.2617981434   TIMDs:716
Time:21.1254630089   TIMDs:32
Time:12.2070798874   TIMDs:66
Time:12.1072840691   TIMDs:100
Time:13.9957680702   TIMDs:134
Time:20.2072210312   TIMDs:168
Time:18.9977421761   TIMDs:203
Time:15.3489441872   TIMDs:238
Time:19.8874049187   TIMDs:273
Time:28.5978851318   TIMDs:308
Time:19.9236738682   TIMDs:343
Time:21.7611160278   TIMDs:378
Time:35.7478640079   TIMDs:413
Time:27.3262758255   TIMDs:450
Time:34.6575958729   TIMDs:491
Time:35.5181219578   TIMDs:532
Time:32.5885140896   TIMDs:573
Time:33.9790680408   TIMDs:614
Time:37.8704659939   TIMDs:655
Time:37.1687619686   TIMDs:696
Time:44.4179639816   TIMDs:737
Time:47.4943320751   TIMDs:781
Time:50.7345328331   TIMDs:826
Time:50.9441399574   TIMDs:872
Time:50.70333004   TIMDs:919
Time:47.5792090893   TIMDs:966
Time:58.1008229256   TIMDs:1013
Time:50.78805089   TIMDs:1060
Time:54.1775369644   TIMDs:1107
Time:53.2900168896   TIMDs:1158
Time:55.3998670578   TIMDs:1211
Time:59.5520968437   TIMDs:1264
Time:80.2529530525   TIMDs:1317
Time:61.3987548351   TIMDs:1370
Time:69.4206330776   TIMDs:1423
Time:66.6337461472   TIMDs:1476
Time:77.8732049465   TIMDs:1532
Time:76.5840029716   TIMDs:1591
Time:75.440598011   TIMDs:1650
Time:74.8308680058   TIMDs:1710
Time:78.9734759331   TIMDs:1774
Time:76.9128031731   TIMDs:1839
Time:24.3539719582   TIMDs:101
Time:19.2924001217   TIMDs:202
Time:24.9206290245   TIMDs:303
Time:30.694881916   TIMDs:404
Time:28.0474770069   TIMDs:505
Time:19.4834711552   TIMDs:606
Time:29.6284780502   TIMDs:707
Time:20.0224769115   TIMDs:808
Time:25.0960669518   TIMDs:909
Time:34.3521878719   TIMDs:1010
Time:26.3898880482   TIMDs:1111
Time:38.7786750793   TIMDs:1212
Time:30.5406310558   TIMDs:1313
Time:34.6125860214   TIMDs:1414
Time:35.3423039913   TIMDs:1515
Time:44.1218600273   TIMDs:1616
Time:42.3619170189   TIMDs:1717
Time:55.0393512249   TIMDs:1818
Time:42.7301621437   TIMDs:1919
Time:58.5129599571   TIMDs:2020
Time:51.3167619705   TIMDs:2121
Time:44.6419870853   TIMDs:2222
Time:50.2008650303   TIMDs:2323
Time:54.0111651421   TIMDs:2424
Time:66.8549890518   TIMDs:2525
Time:53.3455481529   TIMDs:2626
Time:59.4290640354   TIMDs:2727
Time:64.6148869991   TIMDs:2828
Time:63.9674968719   TIMDs:2929
Time:63.8810889721   TIMDs:3030
Time:71.5835638046   TIMDs:3131
Time:73.2364468575   TIMDs:3232
Time:73.9995059967   TIMDs:3333
Time:71.3743231297   TIMDs:3434
Time:74.0659019947   TIMDs:3535
Time:71.5875520706   TIMDs:3636
Time:77.1697430611   TIMDs:3737
Time:75.5646898746   TIMDs:3838
Time:81.8440430164   TIMDs:3939
Time:93.8821120262   TIMDs:4040
Time:89.2266709805   TIMDs:4141
Time:86.7016921043   TIMDs:4242
Time:85.6951868534   TIMDs:4343
Time:94.2896029949   TIMDs:4444
Time:93.654417038   TIMDs:4545
Time:112.748703957   TIMDs:4646
Time:104.678977966   TIMDs:4747
Time:30.3872768879   TIMDs:101
Time:24.8502540588   TIMDs:202
Time:24.2332110405   TIMDs:303
Time:23.3966221809   TIMDs:404
Time:26.6343998909   TIMDs:505
Time:17.8126409054   TIMDs:606
Time:31.6625249386   TIMDs:707
Time:20.8476018906   TIMDs:808
Time:21.7557911873   TIMDs:909
Time:31.5237009525   TIMDs:1010
Time:33.2853808403   TIMDs:1111
Time:49.8862860203   TIMDs:1212
Time:29.9476628304   TIMDs:1313
Time:38.2504448891   TIMDs:1414
Time:32.2628970146   TIMDs:1515
Time:41.4915049076   TIMDs:1616
Time:56.9383020401   TIMDs:1717
Time:56.0635750294   TIMDs:1818
Time:45.6264100075   TIMDs:1919
Time:57.812060833   TIMDs:2020
Time:44.7944550514   TIMDs:2121
Time:54.2441370487   TIMDs:2222
Time:43.2803909779   TIMDs:2323
Time:57.7047359943   TIMDs:2424
Time:53.4398188591   TIMDs:2525
Time:61.0962758064   TIMDs:2627
Time:58.7069528103   TIMDs:2729
Time:60.7676861286   TIMDs:2831
Time:61.6485569477   TIMDs:2933
Time:80.9995839596   TIMDs:3035
Time:74.8152208328   TIMDs:3137
Time:78.7541298866   TIMDs:3239
Time:67.4920289516   TIMDs:3341
Time:78.8432672024   TIMDs:3443
Time:78.5333240032   TIMDs:3545
Time:75.6929159164   TIMDs:3647
Time:78.4151668549   TIMDs:3749
Time:86.7954099178   TIMDs:3851
Time:87.098361969   TIMDs:3953
Time:38.0261809826   TIMDs:102
Time:27.2349259853   TIMDs:204
Time:24.2276079655   TIMDs:306
Time:20.6415519714   TIMDs:408
Time:22.5259308815   TIMDs:510
Time:30.4286708832   TIMDs:612
Time:22.4427070618   TIMDs:714
Time:26.9470098019   TIMDs:816
Time:39.7690961361   TIMDs:918
Time:51.1029999256   TIMDs:1020
Time:37.9248018265   TIMDs:1122
Time:28.7076749802   TIMDs:1224
Time:38.3629012108   TIMDs:1326
Time:32.1650080681   TIMDs:1428
Time:48.5085859299   TIMDs:1530
Time:43.2656548023   TIMDs:1632
Time:46.2995331287   TIMDs:1734
Time:40.7611169815   TIMDs:1836
Time:53.6733260155   TIMDs:1938
Time:43.5428159237   TIMDs:2040
Time:52.6016948223   TIMDs:2142
Time:42.8996081352   TIMDs:2244
Time:54.0730388165   TIMDs:2346
Time:49.341917038   TIMDs:2448
Time:68.9277908802   TIMDs:2550
Time:61.7247262001   TIMDs:2652
Time:68.5022549629   TIMDs:2754
Time:61.2086470127   TIMDs:2856
Time:67.356415987   TIMDs:2958
Time:68.694258213   TIMDs:3060
Time:63.124311924   TIMDs:3162
Time:69.5226299763   TIMDs:3264
Time:73.1550898552   TIMDs:3366
Time:79.8614411354   TIMDs:3468
Time:87.1254661083   TIMDs:3570
Time:76.7229130268   TIMDs:3672
Time:78.4339849949   TIMDs:3774
Time:84.3421630859   TIMDs:3876
Time:114.530486107   TIMDs:3978
Time:88.8369791508   TIMDs:4080
Time:81.4146058559   TIMDs:4182
Time:89.1978349686   TIMDs:4284
Time:84.0041439533   TIMDs:4386
Time:88.1751170158   TIMDs:4488
Time:94.2770218849   TIMDs:4590
Time:91.600509882   TIMDs:4692
Time:91.4454460144   TIMDs:4794
Time:97.5645198822   TIMDs:4896
Time:93.6664958   TIMDs:4998
Time:101.757358074   TIMDs:5100
Time:101.220468044   TIMDs:5202
Time:96.4021720886   TIMDs:5304
Time:100.043931007   TIMDs:5406
Time:100.806816101   TIMDs:5508
Time:108.302130938   TIMDs:5610
Time:118.18384409   TIMDs:5712
Time:25.0270650387   TIMDs:101
Time:26.3301320076   TIMDs:202
Time:28.1981949806   TIMDs:303
Time:36.9100148678   TIMDs:404
Time:20.7203791142   TIMDs:505
Time:26.8272459507   TIMDs:606
Time:38.7504310608   TIMDs:707
Time:29.9886529446   TIMDs:808
Time:28.4611449242   TIMDs:101
Time:70880.5258441   TIMDs:101
Time:37.3939740658   TIMDs:202
Time:37.5794439316   TIMDs:303
Time:42.0914969444   TIMDs:404
Time:40.4880928993   TIMDs:505
Time:55.9822049141   TIMDs:606
Time:46.9492080212   TIMDs:707
Time:58.184969902   TIMDs:808
Time:41.4655559063   TIMDs:909
Time:52.6701529026   TIMDs:1010
Time:48.3655121326   TIMDs:1111
Time:55.6714549065   TIMDs:1212
Time:53.1206519604   TIMDs:1313
Time:63.9100251198   TIMDs:1414
Time:65.3574719429   TIMDs:1515
Time:66.8191509247   TIMDs:1616
Time:71.1323039532   TIMDs:1717
Time:71.7684121132   TIMDs:1818
Time:65.3634381294   TIMDs:1919
Time:75.6904349327   TIMDs:2020
Time:74.2020690441   TIMDs:2121
Time:81.8305909634   TIMDs:2222
Time:84.1954369545   TIMDs:2323
Time:80.4403591156   TIMDs:2424
Time:84.9532179832   TIMDs:2525
Time:85.492374897   TIMDs:2626
Time:82.6871747971   TIMDs:2727
Time:86.62915802   TIMDs:2828
Time:84.2618238926   TIMDs:2929
Time:86.5320460796   TIMDs:3030
Time:91.434191227   TIMDs:3131
Time:60.379349947   TIMDs:509
Time:49.0673091412   TIMDs:1018
Time:46.6034011841   TIMDs:1527
Time:67.3571019173   TIMDs:509
Time:45.1869959831   TIMDs:509
Time:44.1043200493   TIMDs:1018
Time:66.0509700775   TIMDs:1527
Time:72.280714035   TIMDs:2036
Time:90.2283608913   TIMDs:2545
Time:83.3747279644   TIMDs:3054
Time:101.811760902   TIMDs:3563
Time:15.2317759991   TIMDs:5
Time:15.2753739357   TIMDs:10
Time:17.7488441467   TIMDs:15
Time:18.9498229027   TIMDs:20
Time:21.7373380661   TIMDs:25
Time:18.2604351044   TIMDs:30
Time:19.0791590214   TIMDs:35
Time:21.388890028   TIMDs:40
Time:22.5460979939   TIMDs:45
Time:22.7133190632   TIMDs:50
Time:24.1809220314   TIMDs:55
Time:24.2425611019   TIMDs:60
Time:28.1781949997   TIMDs:65
Time:28.740170002   TIMDs:70
Time:31.9943931103   TIMDs:75
Time:36.1303470135   TIMDs:80
Time:30.9428339005   TIMDs:85
Time:30.0616629124   TIMDs:90
Time:31.0922579765   TIMDs:95
Time:15.7521481514   TIMDs:8
Time:15.0180599689   TIMDs:16
Time:17.8198990822   TIMDs:24
Time:18.7883610725   TIMDs:32
Time:24.4261670113   TIMDs:40
Time:21.4781599045   TIMDs:48
Time:25.9672131538   TIMDs:56
